기준년도,시군명,등록동물수(마리),동물품종수,동물소유자수
2025,가평군,1946,78,1265
2025,광명시,106,21,70

2025,구리시,766,53,688
2025,군포시,4049,83,3018
2025,군포시,3993,88,3051
2025,군포시,1013,57,755
2025,군포시,607,47,468
2025,군포시,634,48,485
2025,군포시,31,10,16
2025,군포시,1009,59,792
2025,군포시,7697,101,5985
2025,군포시,38,13,26
2025,남양주시,1723,68,1272
2025,남양주시,7474,90,5519
2025,남양주시,1416,126,1147
2025,남양주시,6589,85,4831
2025,남양주시,1499,65,1001
2025,남양주시,1326,84,682
2025,남양주시,427,92,236
2025,남양주시,5562,82,4016
2025,남양주시,5257,86,3760
2025,남양주시,447,60,270
2025,남양주시,2029,75,1438
2025,남양주시,8269,93,5857
2025,남양주시,1988,107,1488
2025,남양주시,3455,76,2597
2025,남양주시,4765,88,3426
2025,남양주시,12177,114,7594
2025,동두천시,14,9,5
2025,동두천시,155,27,88
2025,동두천시,567,60,353
2025,동두천시,348,40,204
2025,동두천시,259,33,149
2025,동두천시,570,52,335
2025,동두천시,3567,86,2340
2025,동두천시,1031,57,727
2025,동두천시,107,22,38
2025,동두천시,2305,79,1700
2025,동두천시,114,26,63
2025,동두천시,99,25,47
2025,동두천시,9136,119,6049
2025,시흥시,2284,69,1663
2025,시흥시,218,36,74
2025,시흥시,172,28,83
2025,시흥시,82,20,55
2025,시흥시,257,44,167
2025,시흥시,47,16,25
2025,시흥시,382,38,279
2025,시흥시,1708,63,1277
2025,시흥시,3718,90,2651
2025,시흥시,262,29,192
2025,시흥시,950,55,602
2025,시흥시,329,43,253
2025,시흥시,69,14,32
2025,시흥시,23,13,17
2025,시흥시,469,48,303
2025,시흥시,107,24,46
2025,시흥시,3848,76,2672
2025,시흥시,631,51,450
2025,시흥시,4084,87,2957
2025,시흥시,77,17,30
2025,시흥시,1812,70,1246
2025,시흥시,4403,82,3331
2025,시흥시,1932,71,1434
2025,시흥시,1223,60,877
2025,시흥시,14950,112,11019
2025,시흥시,1830,76,1361
2025,시흥시,493,42,340
2025,시흥시,509,40,375
2025,시흥시,662,47,501
2025,시흥시,748,45,547
2025,시흥시,6,5,5
2025,안산시,842,51,653
2025,안산시,6973,96,5512
2025,안산시,281,38,177
2025,안산시,233,36,138
2025,안산시,289,34,183
2025,안산시,8,5,7
2025,안산시,7145,107,5286
2025,안산시,2917,84,2104
2025,안산시,7702,106,5886
2025,안산시,177,25,124
2025,안산시,51,16,29
2025,안산시,5368,88,4103
2025,안산시,157,26,102
2025,안산시,1802,76,1417
2025,안산시,504,50,370
2025,안산시,1679,77,1266
2025,안산시,40,16,25
2025,안산시,4013,83,2918
2025,안산시,2365,76,1885
2025,안산시,62,22,38
2025,안산시,2880,81,2171
2025,안산시,1915,72,1411
2025,안산시,2660,82,1932
2025,안산시,259,31,169
2025,안산시,23,10,14
2025,안산시,3361,78,2624
2025,안산시,335,41,235
2025,안산시,170,33,107
2025,안산시,5,4,4
2025,안산시,36,16,27
2025,안성시,53,18,46
2025,안성시,19,6,12
2025,안성시,14,9,14
2025,안성시,69,20,47
2025,안성시,1566,67,1291
2025,안성시,21,10,15
2025,안성시,195,34,153
2025,안성시,112,25,86
2025,안성시,27,10,22
2025,안성시,19,11,16
2025,안성시,268,35,227
2025,안성시,466,56,375
2025,안성시,11,7,11
2025,안성시,40,21,34
2025,안성시,9,5,8
2025,안성시,22,11,20
2025,안성시,147,26,116
2025,안성시,3,2,3
2025,안성시,164,32,111
2025,안성시,14,7,12
2025,안성시,59,20,49
2025,안성시,5,4,5
2025,안성시,115,24,81
2025,안성시,98,30,76
2025,안성시,7,5,4
2025,안성시,114,19,100
2025,안성시,19,11,17
2025,안성시,41,18,35
2025,안성시,23,11,20
2025,안성시,1,1,1
2025,안성시,47,16,41
2025,안성시,20,11,14
2025,안성시,261,35,193
2025,안성시,154,30,102
2025,안성시,13,8,11
2025,안성시,16,10,13
2025,안성시,129,29,107
2025,안성시,11,7,10
2025,안성시,217,38,168
2025,안성시,30,12,23
2025,안성시,288,37,199
2025,안성시,296,40,165
2025,안성시,89,22,70
2025,안성시,12,7,10
2025,안성시,5320,106,4142
2025,안성시,16,6,9
2025,안양시,95,23,88
2025,안양시,49,15,45
2025,안양시,108,25,98
2025,안양시,70,17,67
2025,안양시,234,36,223
2025,안양시,48,11,46
2025,안양시,129,25,126
2025,오산시,437,43,309
2025,오산시,26,12,19
2025,오산시,891,56,686
2025,오산시,331,40,248
2025,오산시,2215,78,1644
2025,오산시,1742,61,1314
2025,오산시,821,56,617
2025,오산시,557,42,423
2025,오산시,25,12,12
2025,오산시,29,11,19
2025,오산시,1150,59,911
2025,오산시,361,40,279
2025,오산시,25,13,18
2025,오산시,622,54,472
2025,오산시,1122,57,862
2025,오산시,709,52,547
2025,오산시,1597,70,1236
2025,오산시,485,50,340
2025,오산시,3095,79,2420
2025,오산시,424,42,302
2025,오산시,408,42,312
2025,오산시,258,46,182
2025,오산시,612,52,470
2025,오산시,100,24,65
2025,의왕시,344,38,270
2025,의왕시,2506,80,1918
2025,의왕시,1557,68,1139
2025,의왕시,2255,77,1762
2025,의왕시,424,43,325
2025,의왕시,69,24,38
2025,의왕시,82,18,59
2025,의왕시,573,54,419
2025,의왕시,149,25,94
2025,의왕시,1382,68,1070
2025,의왕시,654,54,457
2025,이천시,851,57,610
2025,이천시,136,34,95
2025,이천시,515,47,381
2025,이천시,51,13,34
2025,이천시,1014,62,697
2025,이천시,101,22,42
2025,이천시,1273,77,871
2025,이천시,373,48,178
2025,이천시,1173,72,768
2025,이천시,2625,76,1890
2025,이천시,349,43,242
2025,이천시,301,51,173
2025,이천시,990,67,738
2025,이천시,1465,81,911
2025,이천시,617,49,441
2025,이천시,198,36,102
2025,이천시,31,12,23
2025,이천시,56,22,33
2025,이천시,926,63,582
2025,이천시,576,50,426
2025,이천시,120,25,91
2025,이천시,1241,61,965
2025,이천시,46,14,30
2025,이천시,1399,66,1051
2025,이천시,440,55,280
2025,파주시,396,40,276
2025,파주시,1412,75,588
2025,파주시,248,37,83
2025,파주시,372,35,302
2025,파주시,19,7,14
2025,파주시,33,14,27
2025,파주시,281,38,198
2025,파주시,3850,93,2848
2025,파주시,1160,61,901
2025,파주시,269,35,186
2025,파주시,4267,97,3134
2025,파주시,51,15,34
2025,파주시,4695,100,3582
2025,파주시,859,66,593
2025,파주시,3739,93,2638
2025,파주시,2245,78,703
2025,파주시,183,44,111
2025,파주시,911,72,453
2025,파주시,55,17,37
2025,파주시,66,20,31
2025,파주시,67,26,52
2025,파주시,1207,60,901
2025,파주시,4771,98,3316
2025,파주시,428,54,306
2025,파주시,77,24,42
2025,파주시,75,26,42
2025,파주시,3307,84,2530
2025,파주시,693,67,435
2025,파주시,511,48,348
2025,파주시,2231,88,1533
2025,파주시,10,6,5
2025,파주시,1368,84,855
2025,파주시,1431,73,857
2025,파주시,310,40,187
2025,파주시,86,28,45
2025,화성시,65,21,39
2025,화성시,1085,65,797
2025,화성시,1305,68,975
2025,화성시,96,25,77
2025,화성시,3714,106,2506
2025,화성시,3578,84,2728
2025,화성시,112,30,83
2025,화성시,723,56,403
2025,화성시,514,42,339
2025,화성시,1826,63,1375
2025,화성시,2,2,2
2025,화성시,1,1,1
2025,화성시,5317,99,4101
2025,화성시,2053,77,1569
2025,화성시,147,31,101
2025,화성시,182,35,119
2025,화성시,57,22,42
2025,화성시,3956,88,3006
2025,화성시,7363,107,5224
2025,화성시,9,5,6
2025,화성시,649,57,382
2025,화성시,2541,70,1872
2025,화성시,1518,63,1115
2025,화성시,599,60,376
2025,화성시,960,52,790
2025,화성시,671,58,512
2025,화성시,10,5,2
2025,화성시,802,56,558
2025,화성시,980,64,581
2025,화성시,3,3,2
2025,화성시,16,9,14
2025,화성시,345,49,239
2025,화성시,1,1,1
2025,화성시,1358,73,878
2025,화성시,2,2,2
2025,화성시,391,47,210
2025,화성시,3229,80,2055
2025,화성시,2066,75,1556
2025,화성시,1659,75,1013
2025,화성시,3,3,2
2025,화성시,4,2,3
2025,화성시,1210,66,658
2025,화성시,2,2,1
2025,화성시,1839,70,1343
2025,화성시,1025,67,653
2025,화성시,51,17,15
2025,화성시,2148,82,1526
2025,화성시,2801,73,2229
2025,화성시,1058,62,560
2025,화성시,6766,107,4753
2025,화성시,13,5,9
2025,화성시,60,18,29
2024,가평군,7428,120,4537
2024,가평군,1806,74,1169
2024,가평군,496,52,294
2024,가평군,910,59,528
2024,가평군,1760,82,1002
2024,가평군,928,85,576
2024,가평군,1528,73,968
2024,광주시,1224,73,864
2024,광주시,281,39,177
2024,광주시,2034,84,1308
2024,광주시,148,35,75
2024,광주시,242,31,121
2024,광주시,599,60,362
2024,광주시,1106,76,519
2024,광주시,128,30,82
2024,광주시,135,35,87
2024,광주시,1358,70,923
2024,광주시,210,38,128
2024,광주시,650,59,455
2024,광주시,1888,81,1369
2024,광주시,1001,71,601
2024,광주시,1313,65,977
2024,광주시,500,47,342
2024,광주시,764,50,589
2024,광주시,8536,125,5927
2024,광주시,1040,65,724
2024,광주시,366,38,264
2024,광주시,41,12,16
2024,광주시,80,26,43
2024,광주시,4163,112,2761
2024,광주시,1327,71,974
2024,광주시,2695,90,1987
2024,광주시,1700,78,1019
2024,광주시,1118,69,736
2024,부천시,11,5,11
2024,부천시,2,2,2
2024,부천시,226,31,198
2024,부천시,175,36,159
2024,부천시,1,1,1
2024,부천시,2,2,2
2024,부천시,52,16,46
2024,부천시,1,1,1
2024,부천시,102,19,91
2024,부천시,84,23,80
2024,부천시,1,1,1
2024,부천시,46,13,39
2024,부천시,1,1,1
2024,부천시,5,3,4
2024,부천시,363,45,322
